id;isbn;title;year;author
B-001;978-0451524935;1984;1949;Джордж Орвелл
B-002;978-0141439518;Гордість і упередження;1813;Джейн Остін
B-003;978-1503290563;Кобзар;1840;Тарас Шевченко
B-004;;Порожній ISBN;2023;Анонім
B-005;978-1400031702;Майстер і Маргарита;1967;Михайло Булгаков
B-006;978-0140283334;Бійцівський клуб;не_число;Чак Паланік
B-007;978-0345391803;Автостопом по галактиці;1979;Дуглас Адамс
B-008;978-0553103540;Гра престолів;1996;Джордж Р.Р. Мартін
B-009;978-0618260300;Гобіт;1937;Дж.Р.Р. Толкін
B-010;978-0743273565;Великий Гетсбі;1925;Френсіс Скотт Фіцджеральд
B-011;978-0061120084;Убити пересмішника;3000;Гарпер Лі
B-012;978-0452284234;Без року

R-001;Іван Франко;+380501234567
R-002;Леся Українка;+380671234567
